timestamp,msisdn,score,price,pool,new
2026-08-11 01:18:47,0955654333,14,699,universal,
2026-08-11 01:18:47,0953211119,14,999,naga,
2026-08-11 01:18:47,0957654222,14,499,emperor,
2026-08-11 01:18:47,0963456661,14,499,emperor,
2026-08-11 01:18:47,0967654446,14,499,emperor,
2026-08-11 01:18:47,0855821000,13,699,rahu,
2026-08-11 01:18:47,0961611117,13,1999,ajchang,
2026-08-11 01:18:47,0858536789,11,899,rahu,NEW
2026-08-11 01:18:47,0855146789,11,499,rahu,NEW
2026-08-11 01:18:47,0658861234,11,899,rahu,NEW
2026-08-11 01:18:47,0967654422,11,499,emperor,
2026-08-11 01:18:47,0957654646,11,499,emperor,
2026-08-11 01:18:47,0957654466,11,499,emperor,
2026-08-11 01:18:47,0953456822,11,499,emperor,
2026-08-11 01:18:47,0967654646,11,499,emperor,
2026-08-11 01:18:47,0956715222,10,699,universal,
2026-08-11 01:18:47,0956745777,10,699,universal,
2026-08-11 01:18:47,0955154343,10,699,universal,
2026-08-11 01:18:47,0956749111,10,699,universal,
2026-08-11 01:18:47,0858276555,10,699,universal,
2026-08-11 01:18:47,0957433339,10,899,universal,
2026-08-11 01:18:47,0962522223,10,1199,universal,
2026-08-11 01:18:47,0954369666,10,899,universal,
2026-08-11 01:18:47,0955623444,10,699,universal,
2026-08-11 01:18:47,0962500007,10,899,universal,
2026-08-11 01:18:47,0961733334,10,899,universal,
2026-08-11 01:18:47,0956766622,10,899,universal,
2026-08-11 01:18:47,0954381116,10,499,rahu,
2026-08-11 01:18:47,0834065444,10,499,rahu,
2026-08-11 01:18:47,0967833737,10,1199,rahu,
2026-08-11 01:18:47,0963511117,10,1199,khanthep,
2026-08-11 01:18:47,0962511117,10,1199,khanthep,
2026-08-11 01:18:47,0957722229,10,999,naga,
2026-08-11 01:18:47,0957344449,10,999,naga,
2026-08-11 01:18:47,0956719111,10,999,naga,
2026-08-11 01:18:47,0953100009,10,999,naga,
2026-08-11 01:18:47,0954394666,10,699,naga,
2026-08-11 01:18:47,0967411119,10,999,naga,
2026-08-11 01:18:47,0956795553,10,699,naga,
2026-08-11 01:18:47,0963567779,10,699,naga,
2026-08-11 01:18:47,0951633339,10,999,naga,
2026-08-11 01:18:47,0962688883,10,1999,ajchang,
2026-08-11 01:18:47,0967871115,10,1199,ajchang,
2026-08-11 01:18:47,0954311616,10,899,ajchang,
2026-08-11 01:18:47,0955671444,10,899,ajchang,
2026-08-11 01:18:47,0954755556,10,899,ajchang,
2026-08-11 01:18:47,0962355552,10,899,ajchang,
2026-08-11 01:18:47,0967366662,10,899,ajchang,
2026-08-11 01:18:47,0963432225,10,599,ajchang,
2026-08-11 01:18:47,0967234999,10,599,ajchang,
2026-08-11 01:18:47,0963455583,10,499,ajchang,
2026-08-11 01:18:47,0918766690,10,499,ajchang,
2026-08-11 01:18:47,0955543751,10,499,ajchang,
2026-08-11 01:18:47,0958766638,10,499,ajchang,
2026-08-11 01:18:47,0953459111,10,499,emperor,
2026-08-11 01:18:47,0957645666,10,499,emperor,
2026-08-11 01:18:47,0967456999,10,499,emperor,
2026-08-11 01:18:47,0963165444,10,499,emperor,
2026-08-11 01:18:47,0954344426,10,499,emperor,
2026-08-11 01:18:47,0954344462,10,499,emperor,
2026-08-11 01:18:47,0953432111,14,699,universal
2026-08-11 01:18:47,0658811234,11,899,rahu
2026-08-11 01:18:47,0855123458,11,699,rahu
2026-08-11 01:18:47,0955700003,10,899,universal
2026-08-11 01:18:47,0963144445,10,899,universal
2026-08-11 01:18:47,0967835333,10,899,universal
2026-08-11 01:18:47,0956767227,10,699,universal
2026-08-11 01:18:47,0954723444,10,699,universal
2026-08-11 01:18:47,0641544447,10,1699,universal
2026-08-11 01:18:47,0644465463,10,1499,universal
2026-08-11 01:18:47,0956766464,10,899,universal
2026-08-11 01:18:47,0963176555,10,699,universal
2026-08-11 01:18:47,0832150222,10,499,rahu
2026-08-11 01:18:47,0644345858,10,899,rahu
2026-08-11 01:18:47,0820012225,10,699,rahu
2026-08-11 01:18:47,0956797666,10,699,naga
2026-08-11 01:18:47,0953122229,10,999,naga
2026-08-11 01:18:47,0956719333,10,699,naga
2026-08-11 01:18:47,0967199990,10,999,naga
2026-08-11 01:18:47,0954766669,10,999,naga
2026-08-11 01:18:47,0963799994,10,999,naga
2026-08-11 01:18:47,0956749666,10,699,naga
2026-08-11 01:18:47,0963622221,10,1999,ajchang
2026-08-11 01:18:47,0957144446,10,1499,ajchang
2026-08-11 01:18:47,0963452225,10,899,ajchang
2026-08-11 01:18:47,0957366664,10,899,ajchang
2026-08-11 01:18:47,0644487601,10,499,ajchang
2026-08-11 01:18:47,0610122297,10,499,ajchang
2026-08-11 01:18:47,0643288870,10,499,ajchang
2026-08-11 01:18:57,0938345666,14,699,universal
2026-08-11 01:18:57,0954322271,14,499,ajchang
2026-08-11 01:18:57,0855351234,11,899,rahu
2026-08-11 01:18:57,0820611234,11,699,rahu
2026-08-11 01:18:57,0832155666,10,899,universal
2026-08-11 01:18:57,0956511113,10,899,universal
2026-08-11 01:18:57,0967411115,10,899,universal
2026-08-11 01:18:57,0967835553,10,899,universal
2026-08-11 01:18:57,0956757222,10,699,universal
2026-08-11 01:18:57,0955711110,10,899,universal
2026-08-11 01:18:57,0963457772,10,699,universal
2026-08-11 01:18:57,0826432228,10,899,rahu
2026-08-11 01:18:57,0658123555,10,899,rahu
2026-08-11 01:18:57,0952700009,10,999,naga
2026-08-11 01:18:57,0956794449,10,999,naga
2026-08-11 01:18:57,0968566661,10,1999,ajchang
2026-08-11 01:18:57,0956549111,10,1699,ajchang
2026-08-11 01:18:57,0956715111,10,899,ajchang
2026-08-11 01:18:57,0855543803,10,499,ajchang
2026-08-11 01:18:57,0955567122,10,499,ajchang
2026-08-11 01:18:58,0957654222,14,499,emperor,
2026-08-11 01:18:58,0967654446,14,499,emperor,
2026-08-11 01:18:58,0957654442,14,499,emperor,
2026-08-11 01:18:58,0832126000,13,699,rahu,
2026-08-11 01:18:58,0954543339,13,699,naga,
2026-08-11 01:18:58,0825456767,11,499,rahu,
2026-08-11 01:18:58,0889491234,11,499,rahu,NEW
2026-08-11 01:18:58,0967654224,11,499,emperor,
2026-08-11 01:18:58,0957654646,11,499,emperor,
2026-08-11 01:18:58,0957654466,11,499,emperor,
2026-08-11 01:18:58,0967654664,11,499,emperor,
2026-08-11 01:18:58,0841476555,10,699,universal,
2026-08-11 01:18:58,0834509666,10,699,universal,
2026-08-11 01:18:58,0648766555,10,899,universal,
2026-08-11 01:18:58,0968177772,10,899,universal,
2026-08-11 01:18:58,0967567111,10,699,universal,
2026-08-11 01:18:58,0954374555,10,699,universal,
2026-08-11 01:18:58,0832188444,10,899,universal,
2026-08-11 01:18:58,0954377666,10,899,universal,
2026-08-11 01:18:58,0886541555,10,899,universal,
2026-08-11 01:18:58,0642745666,10,699,universal,
2026-08-11 01:18:58,0963145666,10,699,universal,
2026-08-11 01:18:58,0967266660,10,899,universal,
2026-08-11 01:18:58,0963733339,10,1199,universal,
2026-08-11 01:18:58,0962765558,10,499,rahu,
2026-08-11 01:18:58,0967822292,10,1199,rahu,
2026-08-11 01:18:58,0968543331,10,499,rahu,
2026-08-11 01:18:58,0858761444,10,899,rahu,
2026-08-11 01:18:58,0832160111,10,499,rahu,
2026-08-11 01:18:58,0966811114,10,499,rahu,
2026-08-11 01:18:58,0958322228,10,1199,rahu,
2026-08-11 01:18:58,0957177774,10,1199,khanthep,
2026-08-11 01:18:58,0953833335,10,1199,khanthep,
2026-08-11 01:18:58,0952833336,10,1199,khanthep,
2026-08-11 01:18:58,0956719666,10,699,naga,
2026-08-11 01:18:58,0956769333,10,699,naga,
2026-08-11 01:18:58,0961277779,10,999,naga,
2026-08-11 01:18:58,0954369111,10,699,naga,
2026-08-11 01:18:58,0955611117,10,1999,ajchang,
2026-08-11 01:18:58,0963722229,10,899,ajchang,
2026-08-11 01:18:58,0962755551,10,899,ajchang,
2026-08-11 01:18:58,0961322221,10,899,ajchang,
2026-08-11 01:18:58,0957655444,10,899,ajchang,
2026-08-11 01:18:58,0812355548,10,499,ajchang,
2026-08-11 01:18:58,0954311165,10,499,emperor,
2026-08-11 01:18:58,0967816664,10,499,emperor,
2026-08-11 01:18:58,0957651119,10,499,emperor,
2026-08-11 01:18:58,0953459111,10,499,emperor,
2026-08-11 01:18:58,0967456999,10,499,emperor,
2026-08-11 01:19:07,0954311110,14,899,universal
2026-08-11 01:19:07,0802123000,13,499,rahu
2026-08-11 01:19:07,0839789000,13,499,rahu
2026-08-11 01:19:07,0826264000,12,499,rahu
2026-08-11 01:19:07,0959578000,12,499,rahu
2026-08-11 01:19:07,0658861234,11,899,rahu
2026-08-11 01:19:07,0954325115,11,699,khanthep
2026-08-11 01:19:07,0956765333,10,699,universal
2026-08-11 01:19:07,0646548111,10,699,universal
2026-08-11 01:19:07,0956166667,10,1199,universal
2026-08-11 01:19:07,0842678222,10,699,universal
2026-08-11 01:19:07,0834545569,10,1199,universal
2026-08-11 01:19:07,0956234777,10,699,universal
2026-08-11 01:19:07,0956454333,10,699,universal
2026-08-11 01:19:07,0956732777,10,699,universal
2026-08-11 01:19:07,0962533338,10,899,universal
2026-08-11 01:19:07,0961765999,10,699,universal
2026-08-11 01:19:07,0642176555,10,699,universal
2026-08-11 01:19:07,0803876111,10,499,rahu
2026-08-11 01:19:07,0834573331,10,499,rahu
2026-08-11 01:19:07,0839123339,10,899,rahu
2026-08-11 01:19:07,0963266678,10,699,rahu
